trip_id,stop_sequence,stop_name,stop_time
1,1,51 Le Dai Hanh,07:40
1,2,Times City,07:55
1,3,AEON Mall Long Bien,08:05
1,4,Rung Co - E2 Building,08:20
1,5,BUV Campus,08:25
2,1,51 Le Dai Hanh,09:40
2,2,Times City,09:55
2,3,AEON Mall Long Bien,10:05
2,4,Rung Co - E2 Building,10:20
2,5,BUV Campus,10:25
3,1,51 Le Dai Hanh,10:40
3,2,Times City,10:55
3,3,AEON Mall Long Bien,11:05
3,4,Rung Co - E2 Building,11:20
3,5,BUV Campus,11:25
4,1,51 Le Dai Hanh,12:00
4,2,Times City,12:15
4,3,AEON Mall Long Bien,12:25
4,4,Rung Co - E2 Building,12:35
4,5,BUV Campus,12:40
5,1,51 Le Dai Hanh,13:30
5,2,Times City,13:45
5,3,AEON Mall Long Bien,13:55
5,4,Rung Co - E2 Building,14:10
5,5,BUV Campus,14:15
6,1,Nguyen Quoc Tri,07:20
6,2,National Cinema Centre,07:35
6,3,BUV Campus,08:25
7,1,Nguyen Quoc Tri,09:30
7,2,National Cinema Centre,09:45
7,3,BUV Campus,10:35
8,1,Nguyen Quoc Tri,10:25
8,2,National Cinema Centre,10:40
8,3,BUV Campus,11:30
9,1,Nguyen Quoc Tri,11:40
9,2,National Cinema Centre,11:55
9,3,BUV Campus,12:45
10,1,Nguyen Quoc Tri,13:30
10,2,National Cinema Centre,13:45
10,3,BUV Campus,14:35
11,1,Ho Tay Water Park,07:40
11,2,Au Co,07:50
11,3,Tran Khanh Du,08:05
11,4,Vinhomes Ocean Park,08:30
11,5,BUV Campus,08:40
12,1,Ho Tay Water Park,09:40
12,2,Au Co,09:50
12,3,Tran Khanh Du,10:05
12,4,Vinhomes Ocean Park,10:30
12,5,BUV Campus,10:40
13,1,Ho Tay Water Park,10:40
13,2,Au Co,10:50
13,3,Tran Khanh Du,11:05
13,4,Vinhomes Ocean Park,11:30
13,5,BUV Campus,11:40
14,1,Ho Tay Water Park,11:40
14,2,Au Co,11:50
14,3,Tran Khanh Du,12:05
14,4,Vinhomes Ocean Park,12:30
14,5,BUV Campus,12:40
15,1,Ho Tay Water Park,13:30
15,2,Au Co,13:40
15,3,Tran Khanh Du,13:55
15,4,Vinhomes Ocean Park,14:20
15,5,BUV Campus,14:30
16,1,Ho Guom Plaza,07:30
16,2,473 Nguyen Trai,07:40
16,3,Muong Thanh Grand Hotel,07:50
16,4,Linh Nam,08:00
16,5,BUV Campus,08:20
17,1,Ho Guom Plaza,09:30
17,2,473 Nguyen Trai,09:40
