day_of_week,trip_id,date
Monday,1,09/09/2024
Monday,2,09/09/2024
Monday,3,09/09/2024
Monday,4,09/09/2024
Monday,5,09/09/2024
Monday,6,09/09/2024
Monday,7,09/09/2024
Monday,8,09/09/2024
Monday,10,09/09/2024
Monday,11,09/09/2024
Monday,12,09/09/2024
Monday,13,09/09/2024
Monday,15,09/09/2024
Monday,16,09/09/2024
Monday,17,09/09/2024
Monday,18,09/09/2024
Monday,20,09/09/2024
Monday,21,09/09/2024
Monday,22,09/09/2024
Monday,23,09/09/2024
Monday,24,09/09/2024
Monday,25,09/09/2024
Tuesday,1,10/09/2024
Tuesday,2,10/09/2024
Tuesday,4,10/09/2024
Tuesday,5,10/09/2024
Tuesday,6,10/09/2024
Tuesday,7,10/09/2024
Tuesday,9,10/09/2024
Tuesday,10,10/09/2024
Tuesday,11,10/09/2024
Tuesday,12,10/09/2024
Tuesday,14,10/09/2024
Tuesday,15,10/09/2024
Tuesday,16,10/09/2024
Tuesday,17,10/09/2024
Tuesday,19,10/09/2024
Tuesday,20,10/09/2024
Tuesday,21,10/09/2024
Tuesday,22,10/09/2024
Tuesday,24,10/09/2024
Tuesday,25,10/09/2024
Wednesday,1,11/09/2024
Wednesday,2,11/09/2024
Wednesday,3,11/09/2024
Wednesday,6,11/09/2024
Wednesday,7,11/09/2024
Wednesday,8,11/09/2024
Wednesday,11,11/09/2024
Wednesday,12,11/09/2024
Wednesday,13,11/09/2024
Wednesday,16,11/09/2024
Wednesday,17,11/09/2024
Wednesday,18,11/09/2024
Wednesday,21,11/09/2024
Wednesday,22,11/09/2024
Wednesday,23,11/09/2024
Thursday,1,12/09/2024
Thursday,2,12/09/2024
Thursday,3,12/09/2024
Thursday,4,12/09/2024
Thursday,6,12/09/2024
Thursday,7,12/09/2024
Thursday,8,12/09/2024
Thursday,9,12/09/2024
Thursday,11,12/09/2024
Thursday,12,12/09/2024
Thursday,13,12/09/2024
Thursday,14,12/09/2024
Thursday,16,12/09/2024
Thursday,17,12/09/2024
Thursday,18,12/09/2024
Thursday,19,12/09/2024
Thursday,21,12/09/2024
Thursday,22,12/09/2024
Thursday,23,12/09/2024
Thursday,24,12/09/2024
Friday,1,13/09/2024
Friday,2,13/09/2024
Friday,3,13/09/2024
Friday,4,13/09/2024
Friday,5,13/09/2024
Friday,6,13/09/2024
Friday,7,13/09/2024
Friday,8,13/09/2024
Friday,9,13/09/2024
Friday,10,13/09/2024
Friday,11,13/09/2024
Friday,12,13/09/2024
Friday,13,13/09/2024
Friday,14,13/09/2024
Friday,15,13/09/2024
Friday,16,13/09/2024
Friday,17,13/09/2024
Friday,18,13/09/2024
Friday,19,13/09/2024
Friday,20,13/09/2024
Friday,21,13/09/2024
Friday,22,13/09/2024
Friday,23,13/09/2024
Friday,24,13/09/2024
Friday,25,13/09/2024
Monday,26,09/09/2024
Monday,27,09/09/2024
Monday,29,09/09/2024
Monday,30,09/09/2024
Monday,32,09/09/2024
Monday,33,09/09/2024
Monday,35,09/09/2024
Monday,36,09/09/2024
Monday,38,09/09/2024
Monday,39,09/09/2024
Monday,41,09/09/2024
Monday,42,09/09/2024
Monday,44,09/09/2024
Monday,45,09/09/2024
Monday,47,09/09/2024
Monday,48,09/09/2024
Monday,50,09/09/2024
Monday,51,09/09/2024
Monday,53,09/09/2024
Monday,54,09/09/2024
Tuesday,26,10/09/2024
Tuesday,27,10/09/2024
Tuesday,28,10/09/2024
Tuesday,29,10/09/2024
Tuesday,30,10/09/2024
Tuesday,32,10/09/2024
Tuesday,33,10/09/2024
Tuesday,34,10/09/2024
Tuesday,35,10/09/2024
Tuesday,36,10/09/2024
Tuesday,38,10/09/2024
Tuesday,39,10/09/2024
Tuesday,40,10/09/2024
Tuesday,41,10/09/2024
Tuesday,42,10/09/2024
Tuesday,44,10/09/2024
Tuesday,45,10/09/2024
Tuesday,46,10/09/2024
Tuesday,47,10/09/2024
Tuesday,48,10/09/2024
Tuesday,50,10/09/2024
Tuesday,51,10/09/2024
Tuesday,52,10/09/2024
Tuesday,53,10/09/2024
Tuesday,54,10/09/2024
Wednesday,27,11/09/2024
Wednesday,29,11/09/2024
Wednesday,30,11/09/2024
Wednesday,33,11/09/2024
Wednesday,35,11/09/2024
Wednesday,36,11/09/2024
Wednesday,39,11/09/2024
Wednesday,41,11/09/2024
Wednesday,42,11/09/2024
Wednesday,45,11/09/2024
Wednesday,47,11/09/2024
Wednesday,48,11/09/2024
Wednesday,51,11/09/2024
Wednesday,53,11/09/2024
Wednesday,54,11/09/2024
Thursday,27,12/09/2024
Thursday,29,12/09/2024
Thursday,30,12/09/2024
Thursday,33,12/09/2024
Thursday,35,12/09/2024
Thursday,36,12/09/2024
Thursday,39,12/09/2024
Thursday,41,12/09/2024
Thursday,42,12/09/2024
Thursday,45,12/09/2024
Thursday,47,12/09/2024
Thursday,48,12/09/2024
Thursday,51,12/09/2024
Thursday,53,12/09/2024
Thursday,54,12/09/2024
Friday,27,13/09/2024
Friday,28,13/09/2024
Friday,29,13/09/2024
Friday,30,13/09/2024
Friday,31,13/09/2024
Friday,33,13/09/2024
Friday,34,13/09/2024
Friday,35,13/09/2024
Friday,36,13/09/2024
Friday,37,13/09/2024
Friday,39,13/09/2024
Friday,40,13/09/2024
Friday,41,13/09/2024
Friday,42,13/09/2024
Friday,43,13/09/2024
Friday,45,13/09/2024
Friday,46,13/09/2024
Friday,47,13/09/2024
Friday,48,13/09/2024
Friday,49,13/09/2024
Friday,51,13/09/2024
Friday,52,13/09/2024
Friday,53,13/09/2024
Friday,54,13/09/2024
Friday,55,13/09/2024
